Lanche,Valor Energetico,Carboidratos,Proteinas,Gorduras Totais,Gorduras Saturadas,Gorduras Trans ,Colesterol,Fibra Alimentar,Sodio,Calcio,Ferro
Big Mac,504,41,25,27,12,5,54,35,960,162,65
Big Tasty,843,45,41,55,24,17,104,51,1511,381,82
Quarterao,558,36,31,32,16,13,86,36,1216,275,10
Mcnifico Bacon,625,38,34,37,16,13,95,39,1255,209,11
Cheddar McMelt,507,33,29,29,14,12,81,29,819,199,10
McFish,373,38,18,16,58,4,43,22,773,168,38
McChicken,454,40,18,25,6,3,49,31,1068,67,4
McChicken Jr,337,33,13,17,45,4,11,33,633,58,31
Chicken Classic Crispy,490,52,24,20,44,2,33,67,1361,38,25
Chicken Classic Grill,425,44,34,12,2,2,68,55,1072,44,26
Chicken Club Crispy,610,54,31,30,93,5,58,67,1831,115,3
Chicken Club Grill,545,46,41,22,7,4,93,55,1542,121,3
Chicken Lemon Crispy,454,54,24,16,7,2,28,67,1290,37,25
Chicken Lemon Grill,389,46,34,78,8,2,63,55,1001,43,25
Cheeseburger,310,32,15,14,7,4,31,19,781,146,42
Hamburger,257,31,13,93,41,3,22,19,542,70,42
Wrap Grill Maionese,340,29,19,16,34,1,42,12,888,175,83
Wrap Crispy Maionese,372,33,14,20,46,2,25,18,1032,172,81
Wrap Grill Lemon,306,30,19,12,21,1,38,11,829,175,78
Wrap Crispy Lemon,338,34,14,16,33,1,21,18,974,172,77
Chicken Bacon Crispy,515,45,27,25,10,4,47,3,1487,165,44
Chicken Bacon Grill,425,31,39,16,5,4,83,3,1151,161,39
Angus Bacon,861,57,54,46,21,17,145,5,1917,193,4
Angus Deluxe,863,56,51,49,21,17,139,5,1716,197,38
CBO ,643,56,27,35,11,7,71,4,1220,236,69
